Very Low (LM15) Simulation_0.0,Very Low (LM15) Simulation_0.1,Very Low (LM15) Simulation_0.25,Very Low (LM15) Simulation_0.5,Very Low (LM15) Simulation_0.75,Very Low (LM15) Simulation_1.0,Very Low (LM15) Simulation_5.0,Very Low (LM15) Simulation_10.0,Low (LM14) Simulation_0.0,Low (LM14) Simulation_0.1,Low (LM14) Simulation_0.25,Low (LM14) Simulation_0.5,Low (LM14) Simulation_0.75,Low (LM14) Simulation_1.0,Low (LM14) Simulation_5.0,Low (LM14) Simulation_10.0,Medium (LM18) Simulation_0.0,Medium (LM18) Simulation_0.1,Medium (LM18) Simulation_0.25,Medium (LM18) Simulation_0.5,Medium (LM18) Simulation_0.75,Medium (LM18) Simulation_1.0,Medium (LM18) Simulation_5.0,Medium (LM18) Simulation_10.0,High (LM19) Simulation_0.0,High (LM19) Simulation_0.1,High (LM19) Simulation_0.25,High (LM19) Simulation_0.5,High (LM19) Simulation_0.75,High (LM19) Simulation_1.0,High (LM19) Simulation_5.0,High (LM19) Simulation_10.0,Time (hr)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.2886418450577782e-15,-8.016440015594e-15,-1.2400253994496502e-15,9.886154813387953e-16,3.252799388558812e-15,8.420974450128361e-16,-2.2222416744674784e-15,0.0,-5.922231280239547e-15,1.6118319060562112e-15,-8.706373405788518e-16,3.758910114282267e-15,1.9438625761524532e-18,1.6193920434500326e-15,8.665483399059004e-16,0.0,-1.3890964566268708e-16,-2.8260095243279947e-15,-1.498682638812239e-15,2.368835772135359e-16,2.0491124958937238e-18,-5.757926919845998e-16,-2.2541964258115845e-15,0.0,-1.3653594769585687e-16,2.7434596615859783e-15,7.664525758050793e-16,5.115986496872448e-16,2.1280418598582582e-18,1.2675184324650558e-16,-6.193031212100771e-16,1.0007147962830594
0.0,1.3083992347778134e-15,-7.982755315094431e-15,-1.0934817140407164e-15,1.0515990996940298e-15,3.238936396621327e-15,9.0028382844979e-16,-2.217554182979942e-15,0.0,-5.91918136018636e-15,1.5792963284266989e-15,-8.549299084646364e-16,3.740783658199499e-15,1.9485099715045412e-18,1.6135707681297786e-15,8.297151333966773e-16,0.0,-1.3862176492855008e-16,-2.8359141456683533e-15,-1.528721904762167e-15,1.7011111115056654e-16,2.053351396719397e-18,-5.859892778671467e-16,-2.276309927084308e-15,0.0,-1.3675121771120674e-16,2.735366156920201e-15,8.146310519144823e-16,5.92808848774503e-16,2.1325104645177162e-18,1.3244514912870535e-16,-6.1797955635951235e-16,2.0014295925661187
0.0,1.3163557299047397e-15,-7.968563017460904e-15,-1.0337731070535614e-15,1.07737234604875e-15,3.2518086676438304e-15,9.252530619822631e-16,-2.213764711721698e-15,0.0,-5.9156409289590395e-15,1.5660758286960951e-15,-8.481988813824688e-16,3.733750477454352e-15,2.7300738634436554e-18,1.614108752057824e-15,8.185083907289973e-16,0.0,-1.3847716289461483e-16,-2.8442139757609315e-15,-1.540482804820245e-15,1.436058837723282e-16,2.9886211055449744e-18,-5.86502123148846e-16,-2.280595396399977e-15,0.0,-1.3680867381503844e-16,2.7322136920342214e-15,8.344813339463499e-16,6.264864763572961e-16,3.1866346703403898e-18,1.3880839023592552e-16,-6.122505032189128e-16,3.002144388849178
0.0,1.320026067333089e-15,-7.960013618961304e-15,-1.0012601287162618e-15,1.1021934600791386e-15,3.3008261250151544e-15,1.003148637704445e-15,-2.1289523085485685e-15,0.0,-5.914078409154795e-15,1.5667551852864466e-15,-8.266629941649972e-16,3.763711991761677e-15,5.0208920087550856e-17,1.7720008790622113e-15,1.0078123845522543e-15,0.0,-1.3697831257557346e-16,-2.9640863327513566e-15,-1.5222911136300517e-15,1.7317434702182705e-16,6.08973676989373e-17,-3.938997667075964e-16,-2.0450997850827725e-15,0.0,-1.351924279701457e-16,2.739236051198567e-15,8.686418676259427e-16,6.861838120739022e-16,6.583715363277496e-17,3.61891045828294e-16,-3.385795360463407e-16,4.0028591851322375
0.0,1.3318915535765736e-15,-7.902426658877787e-15,-8.349260000921401e-16,1.3821634771148845e-15,3.658658113774322e-15,2.174581692304068e-15,-7.232736792656929e-16,0.0,-5.887037495859203e-15,1.695655619706693e-15,-4.358690209307547e-16,4.434751125194081e-15,9.932331171449369e-16,4.675976143498161e-15,4.513579330669322e-15,0.0,-1.052213832784393e-16,-1.4387843532680686e-15,-1.0401197605301862e-15,1.0045759409864558e-15,1.2333038011851665e-15,3.2235488683719716e-15,2.325860836876081e-15,0.0,-9.865965589946571e-17,2.926167046802461e-15,1.4308169670092772e-15,1.6567332059389068e-15,1.4158650407149363e-15,4.5536112072470364e-15,4.729033488768239e-15,5.003573981415297
0.0,1.4395150863381225e-15,-7.36246052672646e-15,7.314053754552609e-16,4.006074481368342e-15,7.278299942509772e-15,1.2510879801496256e-14,1.1567772824869526e-14,0.0,-5.615856416063416e-15,3.0635844105481143e-15,3.5507774686290273e-15,1.1211863079051015e-14,1.0388944824824365e-14,3.21088100614836e-14,3.729458579855916e-14,0.0,2.362554796372078e-16,7.664443628024164e-16,3.99976330179424e-15,9.580102648280005e-15,1.3129771934423306e-14,3.806016084972553e-14,4.3970189692391886e-14,0.0,2.985505415590344e-16,4.9397494023742575e-15,7.313785683114515e-15,1.167547833734842e-14,1.5544772519592713e-14,4.542437392161786e-14,5.3627767965397234e-14,6.004288777698356
0.0,2.1087290271985664e-15,-4.045042455855778e-15,1.013911579927751e-14,1.9699343725943624e-14,2.872306771589823e-14,7.136606639875145e-14,8.100147040916647e-14,0.0,-3.845108370940592e-15,1.1934308096911076e-14,2.9026243499404986e-14,5.407893364882634e-14,6.934257111340269e-14,1.9839083603478455e-13,2.345736336522032e-13,0.0,2.509702499980774e-15,1.827316357307416e-14,3.6781334257594086e-14,6.480542225603889e-14,8.913936480097425e-14,2.532185460603724e-13,2.9944879589269224e-13,0.0,2.967967912549172e-15,1.834970147008773e-14,4.6129793080079247e-14,7.689474413379108e-14,1.1703162620627885e-13,3.0100751798600185e-13,3.5743733418210346e-13,7.005003573981416
0.0,5.091958581378204e-15,1.0594860804358492e-14,5.1127055169800504e-14,8.745190425098024e-14,1.206776762387677e-13,3.1661099983440744e-13,3.6870662873272433e-13,0.0,4.3997134054762835e-15,5.3006375085439766e-14,1.4579887917192043e-13,2.491586015536783e-13,3.36110550593137e-13,9.335419329676191e-13,1.1028163687412446e-12,0.0,1.3284141359694817e-14,7.379360273710983e-14,1.8962322573870326e-13,3.205081576290009e-13,4.392233137668333e-13,1.222292345552124e-12,1.4451090524293519e-12,0.0,1.573716062824962e-14,8.208674587659826e-14,2.2826754761341273e-13,3.8212809148404506e-13,4.893459009187054e-13,1.466193190416649e-12,1.7367621341632528e-12,8.005718370264475
0.0,1.548502707024818e-14,6.119045447027045e-14,1.9136769981561656e-13,3.1763786805076003e-13,4.314885355132212e-13,1.1281614159729945e-12,1.3168989158698853e-12,0.0,3.4426742092044e-14,2.0148715523204968e-13,5.649195954066847e-13,9.456907185936429e-13,1.2849684913686816e-12,3.506910359325709e-12,4.132906826433966e-12,0.0,5.30574121719941e-14,2.724459385626303e-13,7.473869378506302e-13,1.2490685302285816e-12,1.7059129667497778e-12,4.676485818577867e-12,5.5169734107895646e-12,0.0,6.330698145665661e-14,3.18462466282904e-13,8.993763725271562e-13,1.501978162856973e-12,1.9519042995382877e-12,5.668678696296681e-12,6.698542332598396e-12,9.006433166547534
